DateTime of Peak Brightness,Latitude,Longitude,Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2012-10-02 16:38:38,-8.1,-111.9,35.0,,1.4,15.3,1.0,470000000000,1.2
2012-09-28 05:44:12,-6.9,73.7,,,,,,38000000000,0.13
2012-05-25 11:31:24,-41.8,-36.2,,,,,,60000000000,0.19
2012-11-20 20:37:31,2.5,29.6,33.3,,-12.2,-5.3,5.3,25000000000,0.08900000000000001
2012-11-20 06:25:11,-8.0,-86.0,,,,,,120000000000,0.36
2012-10-19 16:26:22,-75.4,49.6,29.3,,-2.3,-3.9,12.4,23000000000,0.08199999999999999
2015-03-30 21:33:52,-36.1,-5.5,33.1,,-13.7,-1.7,0.8,64000000000,0.2
2012-10-09 00:54:55,51.2,-84.6,27.8,,3.4,12.0,5.1,210000000000,0.58
2012-09-10 01:03:32,-69.8,-111.7,23.8,,-10.2,-5.2,12.4,23000000000,0.08199999999999999
2015-04-08 04:06:31,-25.5,51.5,36.3,,8.0,-15.6,-7.9,173000000000,0.49
2012-08-27 06:57:43,-18.3,64.2,38.7,,-8.0,-23.7,-14.5,68000000000,0.22
2012-08-26 14:55:47,11.8,117.0,36.0,,5.0,-11.6,-0.7,249000000000,0.68
2012-09-18 19:34:39,1.2,-52.2,28.1,,-1.9,14.1,-11.5,244000000000,0.67
2015-04-03 01:39:38,8.4,-157.9,,,,,,42000000000,0.14
2012-09-11 22:07:30,-18.9,105.2,,,,,,52000000000,0.17
2012-04-21 16:08:23,-15.8,-174.8,,,,,,143000000000,0.42
2015-04-30 10:21:01,-48.7,139.1,26.7,,12.2,-4.2,0.9,105000000000,0.32
2012-07-27 04:19:50,63.1,172.3,27.2,,,,,34000000000,0.12
2012-05-04 21:54:49,76.7,-10.6,,,,,,229000000000,0.63
2012-04-23 22:01:10,36.2,107.4,25.2,,,,,44000000000,0.15
2012-07-25 07:48:20,36.4,41.5,26.8,,0.8,2.0,-18.4,133000000000,0.39
2015-04-21 01:42:51,37.7,-39.6,37.4,,-15.3,12.8,7.4,88000000000,0.27
2012-05-15 11:04:17,-61.8,-135.5,33.3,,-0.8,1.1,17.0,132000000000,0.39
